onglet,ligne,type,texte,quantite,unite,prix_unitaire,categorie_parent,raison
"540 Appareils à c fort","134","titre_sous_titre","DETECTEURS","","","","540 Appareils à c fort > Potelet","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","143","titre_sous_titre","FICHES","","","","540 Appareils à c fort > DETECTEURS","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","161","titre_sous_titre","Thermostats","","","","540 Appareils à c fort > FICHES","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"550 Appareils de télécomunicati","35","titre_sous_titre","Appareillage de télécomunications","","","","550 Appareils de télécomunicati","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"550 Appareils de télécomunicati","38","titre_sous_titre","Prises téléphone","","","","550 Appareils de télécomunicati > Appareillage de télécomunications","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"550 Appareils de télécomunicati","55","titre_sous_titre","Sonnette","","","","550 Appareils de télécomunicati > Prises téléphone","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"550 Appareils de télécomunicati","72","titre_sous_titre","Appareillage de sécurité","","","","550 Appareils de télécomunicati > Sonnette","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"550 Appareils de télécomunicati","255","prix_invalide","- Prise INS 3xRJ45 / inf CI 31","1","p","#REF!","550 Appareils de télécomunicati > Appareillage de sécurité","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","256","prix_invalide","- Prise INS 4xRJ45 / inf CI 31","1","p","#REF!","550 Appareils de télécomunicati > Appareillage de sécurité","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","258","prix_invalide","- Boitier avec support de modules - 6 modules CI 12","1","p","#REF!","550 Appareils de télécomunicati > Appareillage de sécurité","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","259","prix_invalide","- Boitier avec support de modules - 12 modules CI 12","1","p","#REF!","550 Appareils de télécomunicati > Appareillage de sécurité","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","260","prix_invalide","- Connecteur de racc. RJ/45 0.4-0.8 CI 31","1","p","#REF!","550 Appareils de télécomunicati > Appareillage de sécurité","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","263","titre_sous_titre","Télévision","","","","550 Appareils de télécomunicati > Appareillage de sécurité","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"550 Appareils de télécomunicati","264","prix_invalide","- Prise AP 1Connect. radio, 1 TV, 1TED CI 12","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","265","prix_invalide","- Prise AP 1Connect. radio, 1 TV, 1SAT CI 12","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","267","prix_invalide","- Prise ENC 1Connect. radio, 1 TV, 1TED CI 20","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","268","prix_invalide","- Prise ENC 1Connect. radio, 1 TV, 1SAT CI 20","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","270","prix_invalide","- Prise INS 1Connect. radio, 1 TV, 1TED CI 31","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","271","prix_invalide","- Prise INS 1Connect. radio, 1 TV, 1SAT CI 31","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","273","prix_invalide","- Derrivateur jusqu'à 8 voies CI 12","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","274","prix_invalide","- Derrivateur jusqu'à 10 voies CI 12","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"550 Appareils de télécomunicati","276","prix_invalide","- Amplificateur pour branchement interne","1","p","#REF!","550 Appareils de télécomunicati > Télévision","Prix P.U. absent, nul ou erreur Excel."
"560 lustrerie","34","titre_sous_titre","Lustreries","","","","560 lustrerie","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"560 lustrerie","48","titre_sous_titre","LUMINAIRE","","","","560 lustrerie > Lustreries","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"560 lustrerie","54","titre_sous_titre","AMPOULES","","","","560 lustrerie > LUMINAIRE","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"560 lustrerie","67","titre_sous_titre","SPOT","","","","560 lustrerie > AMPOULES","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"560 lustrerie","74","titre_sous_titre","ARMOIRE","","","","560 lustrerie > SPOT","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"560 lustrerie","77","titre_sous_titre","VENTILATION","","","","560 lustrerie > ARMOIRE","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"570 LED","1","titre_sous_titre","Profil + ruban","","","","570 LED","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"580 Sans Fils","1","titre_sous_titre","PLEJD","","","","580 Sans Fils","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"580 Sans Fils","16","titre_sous_titre","ALADIN","","","","580 Sans Fils > PLEJD","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"580 Sans Fils","20","titre_sous_titre","YOKIS","","","","580 Sans Fils > ALADIN","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"580 Sans Fils","24","titre_sous_titre","FELLER","","","","580 Sans Fils > YOKIS","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"590 ABA","1","titre_sous_titre","ABA/CIR","","","","590 ABA","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
